#TYPE,NAME,SHA256
ISO,SLPM87176_01.iso,C731E1C6E273FF6EAC3F8D3A97A7FA0E5D7C5D61CBDDE81A77E74D63A5A86C09
ISO,SLPM87176_02.iso,E94612103AFDE11C569E2B9DED8B3F91F74AA6E99081E6BE196404F27D23D5A5
ISO,SLPM87176.iso,F0A00F73E02AD8282C78D1223247AD34DB7A2D536C15DA086112F40075E653ED
ARC,D_ANIME.BIN,3E1310A3754E7363AD7C89B6EDBA8343C8831268C7584565BDA4ABA006A73B8E
ARC,D_BGM.BIN,11EB2471E63E1C04895008E1D750E13EBB3ECC6D6E9855344957D1F1B7DD1D71
ARC,D_EFFECT.BIN,4AB8E5A529826FBE6E9D029E85E6957EE156C32633B783705211E909944E0286
ARC,D_FACE.BIN,7578F232A5B8840F9F662946B90C9CCCAA08B555BFE8D2263104D11AB8DEDC9B
ARC,D_FIELD.BIN,55C60ADD44504FE64F45D3446A6A0447E0D9AF4A0D21868521481A6700B60824
ARC,D_SCE.BIN,4A6679BDB7DBD8A653D83BDC6BFB8A79A134DA93C207DB8DDD56C4ADC36FB18F
ARC,D_SCREEN.BIN,1E664F1589C0DF0B9595345023893CA3E64E761CDE5814814A3210155EA81A04
ARC,D_SE.BIN,0FD2E1F09F11EAF045584789498894FD0E177EF4F22D22C5543C4DF4394CA99E
ARC,D_SYSTEM.BIN,4FA00EC80B2BCB8683A491B89A493D3EAC5E5987A61EE4064AE2CBDF83190DFC
ARC,D_UNIT.BIN,3CE2103964CF937846F06538D710E26DC21B671CE35B001EABF8F353B9096869
XASTR,MOVIE.BIN,A48F1E27DC8FFBCD3E60C2DF03A992E9EDA7D58594D6D125FA487CB5E5BF1750
XASTR,VOICE.STR,6C079C1CD85A3065196965B91DACEA2B1954464F88F1045E06847093E72405A1
FILE,SLPM_871.76,BE46918673CFB1CFB3E4DB5EC7D7123A8A337322E620C2B47AA5951A267D1580
FILE,SYSTEM.CNF,4AF9352C0D686846027928DCF20AD61AEE23FA30C9CA3769FAAD5A2B46478843
CDDA,MYUVOICE.DA,E94612103AFDE11C569E2B9DED8B3F91F74AA6E99081E6BE196404F27D23D5A5
