#NAME	ADDRESS
Main_DummyFunc	8003961C
_entry	80039624
main	800396E0
_main_ResetGfx	80039D48
_main_80039F80	80039F80
_main_8003A230	8003A230
_main_8003A4E0	8003A4E0
_main_UNUSED_8003A568	8003A568
Main_8003A570	8003A570
Main_8003A788	8003A788
Main_8003AA00	8003AA00
Main_8003ADB8	8003ADB8
_main_8003ADE0	8003ADE0
Main_8003AE24	8003AE24
Main_8003AE90	8003AE90
Main_8003AED8	8003AED8
Pad_8003AF4C	8003AF4C
_pad_8003B5EC	8003B5EC
_pad_8003B8FC	8003B8FC
Pad_8003BBB4	8003BBB4
_pad_8003BC44	8003BC44
_pad_UNUSED_8003BCE0	8003BCE0
_pad_8003BD18	8003BD18
Pad_8003BDFC	8003BDFC
Pad_8003BE70	8003BE70
Pad_8003BF4C	8003BF4C
_pad_UNUSED_8003BFF4	8003BFF4
Pad_8003C06C	8003C06C
Pad_8003C0E4	8003C0E4
CdFiles_ClearLoadRequests	8003C1CC
CdFiles_8003C2BC	8003C2BC
CdFiles_RequestCdFile	8003C544
CdFiles_8003C664	8003C664
CdFiles_8003C790	8003C790
_cdfiles_8003C8E4	8003C8E4
_cdfiles_8003D208	8003D208
_cdFiles_MdecOutCallback	8003F9F0
_cdFiles_DecompressLZ77	8003FB0C
CdFiles_8003FDF8	8003FDF8
CdFiles_8003FE5C	8003FE5C
CdFiles_8003FEA0	8003FEA0
CdFiles_AllSlotsEmpty	8003FEC4
_cdfiles_UNUSED_8003FED4	8003FED4
CdFiles_RequestVoiceClip	8003FEF0
CdFiles_RequestMovie	8003FF24
_cdFiles_PCLoadFileData	80040010
_cdFiles_PCWriteFileData	80040108
_cdfiles_UNUSED_800401AC	800401AC
_cdFiles_GetPrefixedGamefileName	8004021C
_cdFiles_GetSuffixedGamefileName	800402C4
_cdfiles_80040348	80040348
_cdfiles_80040430	80040430
_cdfiles_800404B0	800404B0
_cdfiles_UNUSED_8004051C	8004051C
Audio_ResetAudio	800405A4
Audio_800407CC	800407CC
Audio_80040994	80040994
Audio_Callback_80040A90	80040A90
Audio_Callback_80040CFC	80040CFC
Audio_Callback_80040E50	80040E50
Audio_Callback_80040EEC	80040EEC
Audio_Callback_80041004	80041004
Audio_Callback_8004123C	8004123C
Audio_Callback_800413DC	800413DC
Audio_Callback_800416A8	800416A8
Audio_Callback_8004179C	8004179C
Audio_Callback_800418CC	800418CC
_audio_80041958	80041958
Audio_80041AF8	80041AF8
Audio_80041D98	80041D98
Audio_80041E90	80041E90
Audio_80041F74	80041F74
Audio_80041FC8	80041FC8
_audio_UNUSED_80041FDC	80041FDC
Audio_80042044	80042044
Audio_80042130	80042130
_audio_UNUSED_80042200	80042200
Audio_Callback_8004224C	8004224C
Audio_Callback_800422C0	800422C0
Audio_Callback_80042368	80042368
Audio_Callback_800423FC	800423FC
Audio_Callback_80042448	80042448
Audio_Callback_80042494	80042494
Audio_Callback_800424F8	800424F8
Audio_Callback_8004255C	8004255C
Audio_Callback_800425A8	800425A8
Audio_Callback_800425F4	800425F4
Audio_Callback_80042640	80042640
Audio_Callback_8004268C	8004268C
Audio_Callback_800426D8	800426D8
_audio_80042770	80042770
Audio_Callback_80042724	80042724
GfxA_800427E0	800427E0
GfxA_800428B4	800428B4
GfxA_800429C0	800429C0
GfxA_80042A54	80042A54
GfxA_80042F80	80042F80
GfxA_80043538	80043538
GfxA_800438C0	800438C0
GfxA_80043BAC	80043BAC
GfxA_80043E0C	80043E0C
GfxA_80044A78	80044A78
GfxA_800450E8	800450E8
GfxA_80045CF4	80045CF4
GfxA_80045DF4	80045DF4
GfxA_8004607C	8004607C
GfxA_80046498	80046498
_gfxa_80046650	80046650
GfxA_80046910	80046910
GfxA_80046F70	80046F70
GfxA_8004814C	8004814C
GfxA_80048220	80048220
GfxA_800482F4	800482F4
GfxA_800483C8	800483C8
GfxA_80048518	80048518
GfxA_800485F4	800485F4
_gfxa_UNUSED_800486C8	800486C8
_gfxa_UNUSED_80048780	80048780
_gfxa_UNUSED_800488E0	800488E0
GfxA_8004893C	8004893C
GfxA_80048B6C	80048B6C
GfxA_Callback_8004B614	8004B614
GfxA_Callback_8004B748	8004B748
GfxA_8004B828	8004B828
GfxA_8004BAF4	8004BAF4
_gfxa_8004BC54	8004BC54
_gfxa_8004BDBC	8004BDBC
_gfxa_8004BEB0	8004BEB0
_gfxa_8004C234	8004C234
_gfxa_800500F8	800500F8
GfxA_80051614	80051614
GfxA_80051880	80051880
GfxA_800519DC	800519DC
GfxDraw_loadSprite4Bit	80051C68
GfxA_80051E74	80051E74
GfxA_80051FA0	80051FA0
GfxA_80052100	80052100
_gfxa_80053130	80053130
_gfxa_UNUSED_80053324	80053324
GfxA_80053370	80053370
GfxA_800533FC	800533FC
GfxA_80053544	80053544
_gfxa_UNUSED_80053678	80053678
GfxA_800537C8	800537C8
GfxA_800538C0	800538C0
GfxA_80053904	80053904
GfxA_80053910	80053910
GfxA_80053A10	80053A10
_gfxa_UNUSED_80053AF8	80053AF8
GfxA_80053C04	80053C04
GfxA_80053CE0	80053CE0
GfxA_80053E18	80053E18
GfxA_80053E90	80053E90
GfxA_80053ED4	80053ED4
GfxDraw_SetCLUTSemitrans	80053F18
GfxA_80053FA8	80053FA8
GfxA_Callback_800540A4	800540A4
GfxA_Callback_800540E8	800540E8
GfxA_Callback_80054138	80054138
GfxA_Callback_80054170	80054170
GfxA_Callback_800541A4	800541A4
GfxA_Callback_800541DC	800541DC
GfxA_Callback_80054204	80054204
GfxA_Callback_80054278	80054278
GfxA_Callback_800542A8	800542A8
GfxA_Callback_800542D8	800542D8
GfxA_Callback_8005431C	8005431C
GfxA_Callback_8005434C	8005434C
GfxA_Callback_800543C0	800543C0
GfxA_Callback_8005446C	8005446C
GfxA_Callback_800544A0	800544A0
GfxA_Callback_800544D4	800544D4
GfxA_Callback_800544F8	800544F8
GfxA_Callback_80054528	80054528
GfxA_Callback_80054558	80054558
GfxA_Callback_80054560	80054560
_gfxa_UNUSED_80054598	80054598
_gfxa_UNUSED_8005461C	8005461C
_gfxa_UNUSED_80054668	80054668
_gfxa_800546AC	800546AC
_gfxa_80054714	80054714
_gfxa_800547D8	800547D8
_gfxa_800548B4	800548B4
GfxC_80054994	80054994
GfxC_Callback_80054AAC	80054AAC
GfxC_Callback_80054AF4	80054AF4
GfxC_Callback_80054AFC	80054AFC
GfxC_Callback_80054B04	80054B04
GfxC_Callback_80054B0C	80054B0C
GfxC_Callback_80054B14	80054B14
GfxC_Callback_80054B1C	80054B1C
GfxC_Callback_80054B24	80054B24
GfxC_Callback_80054B2C	80054B2C
GfxC_Callback_80054B34	80054B34
GfxC_Callback_80054B3C	80054B3C
GfxC_Callback_80054B44	80054B44
GfxC_Callback_80054B4C	80054B4C
GfxC_Callback_80054B54	80054B54
GfxC_Callback_80054B5C	80054B5C
GfxC_Callback_80054B64	80054B64
GfxC_Callback_80054B6C	80054B6C
GfxC_Callback_80054B74	80054B74
GfxC_Callback_80054B7C	80054B7C
GfxB_80054B84	80054B84
GfxB_800564D4	800564D4
GfxB_800568AC	800568AC
GfxDraw_loadSprite8Bit_Y256	80056C6C
GfxB_80056D88	80056D88
GfxDraw_renderSpritePolys_56fbc	80056FBC
GfxDraw_renderSpritePolys_573ec	800573EC
GfxB_80057834	80057834
GfxB_800578DC	800578DC
_gfxb_80057B0C	80057B0C
_gfxb_8005817C	8005817C
_gfxb_800589FC	800589FC
_gfxb_80059058	80059058
GfxB_8005A04C	8005A04C
GfxB_8005A3B4	8005A3B4
GfxB_8005A480	8005A480
GfxB_8005A4FC	8005A4FC
GfxB_8005A6E0	8005A6E0
GfxB_8005A76C	8005A76C
GfxB_8005A854	8005A854
GfxB_8005A98C	8005A98C
GfxB_8005AE90	8005AE90
GfxB_8005B054	8005B054
_gfxb_8005B200	8005B200
GfxB_8005B2B8	8005B2B8
GfxB_8005B3E4	8005B3E4
GfxB_8005B88C	8005B88C
