Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
Main	8003961c	80010000	800e1e84	800feb28	0x1138	800fe874	800fea48
Pad	8003af4c	N/A	N/A	800ffb80	0x188	800fe880	800fea70
ResMovie	N/A	N/A	800e1eac	N/A	0	N/A	N/A
CdFiles	8003c1cc	80010004	800e1f68	800ffd08	0x208	800fe888	800fea7c
Audio	800405a4	80010144	800e2004	800fff10	0xc38	N/A	N/A
GfxA	800427e0	800101a4	800e2064	80100b48	0x778	800fe894	800fea90
ResVoice	N/A	N/A	800e20e4	N/A	0	N/A	N/A
ResBgm	N/A	N/A	800e88a8	N/A	0	N/A	N/A
ResSe	N/A	N/A	800e8ae8	N/A	0	N/A	N/A
ResSystem	N/A	N/A	800e8c28	N/A	0	N/A	N/A
ResFace	N/A	N/A	800e8fa8	N/A	0	N/A	N/A
ResScreen	N/A	N/A	800e95a8	N/A	0	N/A	N/A
ResUnit	N/A	N/A	800e9e28	N/A	0	N/A	N/A
ResSce	N/A	N/A	800eae28	N/A	0	N/A	N/A
ResField	N/A	N/A	800eb228	N/A	0	N/A	N/A
ResAnime	N/A	N/A	800eb828	N/A	0	N/A	N/A
ResEffect	N/A	N/A	800ec1a8	N/A	0	N/A	N/A
GfxC	80054994	N/A	800ed4a8	N/A	0	N/A	800fea98
GfxB	80054b84	800113b8	800ed584	801012c0	0x7800	N/A	800feaa0
UNKData5	N/A	N/A	800ed5b4	N/A	0	N/A	N/A
UNKData6	N/A	N/A	800fa754	N/A	0	N/A	N/A
C6A	8005f298	80011484	N/A	N/A	0	N/A	N/A
C6C	800614d4	80011504	N/A	N/A	0	800fe8c4	N/A
C6D	80066da0	80011bcc	N/A	80108ac0	0x17a0	800fe918	800feaa8
Heap	800711a8	N/A	N/A	8010a260	0x340	800fe948	800fead4
MCSave	80072064	80012260	800fa7a4	8010a5a0	0x440	N/A	800feae4
CBMain	80076ef8	N/A	800fa7b4	N/A	0	N/A	N/A
MCCB	80077cd0	80035714	800facb4	N/A	0	800fe950	N/A
C_Seven	8007dc94	80035900	N/A	N/A	0	N/A	N/A
C_Eight	8007eeb0	80035940	800fad94	N/A	0	800fe958	800feaec
C_Nine	800877d4	80036118	800faee0	N/A	0	800fe98c	800feaf0
C_AA	8009375c	80036864	800fb070	N/A	0	800fe9ac	800feaf8
C_AB	800ae794	80038604	N/A	N/A	0	N/A	N/A
C_AD	800aff58	N/A	N/A	N/A	0	N/A	N/A
C_AC	800b04ac	800386a4	N/A	N/A	0	800fe9d4	N/A
