#ADDR	CURRENT_NAME	OLD_NAMES
0x80010000	gGlobalBss	
0x80010004	rdFileNameVoice	
0x80010010	rdFileNameSe	
0x8001001c	rdFileNameBgm	
0x80010028	rdFileNameMovie	
0x80010034	rdFileNameField	
0x80010044	rdFileNameFace	
0x80010050	rdFileNameEffect	
0x80010060	rdFileNameAnime	
0x80010070	rdFileNameSce	
0x8001007c	rdFileNameSystem	
0x8001008c	rdFileNameScreen	
0x8001009c	rdFileNameUnit	
0x80012260	rdMCSaveTitleGame	
0x80012284	rdMCSaveTitleSys	
0x8001e770	rs_mcsave_1e770	
0x80035714	rdMCSaveFileName	
0x80038a50	rs_ccc_00	
0x800390fc	rd_libcd_bios_str390fc	
0x80039108	rd_libcd_bios_str39108	
0x80039114	rd_libcd_bios_str39114	
0x80039120	rd_libcd_bios_str39120	
0x8003912c	rd_libcd_bios_str3912c	
0x80039138	rd_libcd_bios_str39138	
0x80039144	rd_libcd_bios_str39144	
0x80039150	rd_libcd_bios_str39150	
0x80039154	rd_libcd_bios_str39154	
0x80039160	rd_libcd_bios_str39160	
0x80039170	rd_libcd_bios_str39170	
0x8003917c	rd_libcd_bios_str3917c	
0x80039184	rd_libcd_bios_str39184	
0x80039190	rd_libcd_bios_str39190	
0x8003919c	rd_libcd_bios_str3919c	
0x800391a4	rd_libcd_bios_str391a4	
0x800391b0	rd_libcd_bios_str391b0	
0x800391bc	rd_libcd_bios_str391bc	
0x800391c8	rd_libcd_bios_str391c8	
0x800391d4	rd_libcd_bios_str391d4	
0x800391dc	rd_libcd_bios_str391dc	
0x800391e8	rd_libcd_bios_str391e8	
0x800391f0	rd_libcd_bios_str391f0	
0x800391f8	rd_libcd_bios_str391f8	
0x80039204	rd_libcd_bios_str39204	
0x8003920c	rd_libcd_bios_str3920c	
0x80039218	rd_libcd_bios_str39218	
0x80039224	rd_libcd_bios_str39224	
0x80039230	rd_libcd_bios_str39230	
0x800392a0	rd_libcd_bios_str392a0	
0x800392a8	rd_libcd_bios_str392a8	
0x800392ec	rd_libcd_bios_str392ec	
0x800392f4	rd_libcd_bios_str392f4	
0x8003961c	Main_DummyFunc	
0x80039624	_entry	
0x800396e0	main	
0x80039d48	_main_ResetGfx	
0x80039f80	_main_80039F80	
0x8003a230	_main_8003A230	
0x8003a4e0	_main_8003A4E0	
0x8003a568	_main_UNUSED_8003A568	
0x8003a570	Main_8003A570	
0x8003a788	Main_8003A788	
0x8003aa00	Main_8003AA00	
0x8003adb8	Main_8003ADB8	
0x8003ade0	_main_8003ADE0	
0x8003ae24	Main_8003AE24	
0x8003ae90	Main_8003AE90	
0x8003aed8	Main_8003AED8	
0x8003af4c	Pad_8003AF4C	
0x8003b5ec	_pad_8003B5EC	
0x8003b8fc	_pad_8003B8FC	
0x8003bbb4	Pad_8003BBB4	
0x8003bc44	_pad_8003BC44	
0x8003bce0	_pad_UNUSED_8003BCE0	
0x8003bd18	_pad_8003BD18	
0x8003bdfc	Pad_8003BDFC	
0x8003be70	Pad_8003BE70	
0x8003bf4c	Pad_8003BF4C	
0x8003bff4	_pad_UNUSED_8003BFF4	
0x8003c06c	Pad_8003C06C	
0x8003c0e4	Pad_8003C0E4	
0x8003c1cc	CdFiles_ClearLoadRequests	
0x8003c2bc	CdFiles_8003C2BC	
0x8003c544	CdFiles_RequestCdFile	
0x8003c664	CdFiles_8003C664	
0x8003c790	CdFiles_8003C790	
0x8003c8e4	_cdfiles_8003C8E4	
0x8003d208	_cdfiles_8003D208	
0x8003f9f0	_cdFiles_MdecOutCallback	
0x8003fb0c	_cdFiles_DecompressLZ77	
0x8003fdf8	CdFiles_8003FDF8	
0x8003fe5c	CdFiles_8003FE5C	
